class_name,calories_per_serving,serving_size,notes
apple_pie,296,1 slice (125g),average bakery slice
baby_back_ribs,540,6 ribs (150g),with sauce
baklava,334,1 piece (78g),traditional recipe
beef_carpaccio,180,100g,raw beef with dressing
beef_tartare,210,150g,raw beef with egg
beet_salad,150,1 cup (200g),with cheese and greens
beignets,289,3 pieces (90g),powdered sugar
bibimbap,560,1 bowl (400g),with egg and vegetables
bread_pudding,320,1 serving (150g),with sauce
breakfast_burrito,450,1 burrito (200g),eggs cheese and meat
bruschetta,120,3 pieces (90g),tomato and basil
caesar_salad,350,1 serving (200g),with dressing and croutons
cannoli,220,1 cannoli (90g),cream filled
caprese_salad,280,1 serving (200g),mozzarella and tomato
carrot_cake,415,1 slice (135g),with cream cheese frosting
ceviche,180,1 cup (150g),citrus marinated seafood
cheese_plate,420,100g assorted,mixed cheeses
cheesecake,401,1 slice (125g),plain
chicken_curry,350,1 cup (250g),with rice
chicken_quesadilla,530,1 quesadilla (180g),with cheese
chicken_wings,430,6 wings (150g),with sauce
chocolate_cake,440,1 slice (125g),with frosting
chocolate_mousse,280,1 cup (150g),rich chocolate
churros,360,5 pieces (100g),with sugar
clam_chowder,230,1 cup (245g),new england style
club_sandwich,560,1 sandwich (300g),triple decker
crab_cakes,300,2 cakes (150g),pan fried
creme_brulee,330,1 serving (120g),custard with caramel
croque_madame,650,1 sandwich (250g),with egg
cup_cakes,250,1 cupcake (75g),with frosting
deviled_eggs,130,4 halves (80g),classic recipe
donuts,270,1 donut (60g),glazed
dumplings,250,6 pieces (120g),steamed or fried
edamame,190,1 cup (155g),steamed with salt
eggs_benedict,550,1 serving (250g),with hollandaise
escargots,120,6 pieces (90g),in garlic butter
falafel,330,6 pieces (120g),fried chickpea balls
filet_mignon,280,6 oz (170g),grilled
fish_and_chips,800,1 serving (350g),battered fish with fries
foie_gras,460,100g,pan seared
french_fries,365,medium (130g),deep fried
french_onion_soup,290,1 bowl (350g),with cheese
french_toast,380,2 slices (150g),with syrup
fried_calamari,310,1 cup (140g),with marinara
fried_rice,430,1 cup (200g),with vegetables and egg
frozen_yogurt,170,1 cup (174g),plain
garlic_bread,200,2 slices (80g),with butter
gnocchi,390,1 cup (200g),with sauce
greek_salad,230,1 serving (200g),with feta
grilled_cheese_sandwich,440,1 sandwich (150g),butter grilled
grilled_salmon,367,6 oz (170g),plain
guacamole,240,1 cup (230g),fresh avocado
gyoza,220,6 pieces (120g),pan fried
hamburger,540,1 burger (200g),with bun
hot_and_sour_soup,95,1 cup (245g),traditional
hot_dog,290,1 hot dog (100g),with bun
huevos_rancheros,450,1 serving (300g),eggs with salsa
hummus,410,1 cup (245g),with olive oil
ice_cream,270,1 cup (137g),vanilla
lasagna,380,1 piece (250g),meat or cheese
lobster_bisque,320,1 cup (245g),cream based
lobster_roll_sandwich,440,1 roll (150g),new england style
macaroni_and_cheese,450,1 cup (200g),baked
macarons,100,2 cookies (40g),french style
miso_soup,84,1 cup (245g),with tofu
mussels,290,1 serving (300g),steamed
nachos,570,1 serving (150g),with toppings
omelette,280,2 egg (150g),with cheese
onion_rings,350,8 rings (100g),battered
oysters,100,6 oysters (84g),raw on half shell
pad_thai,420,1 cup (200g),with shrimp
paella,400,1 cup (250g),spanish rice
pancakes,380,3 pancakes (180g),with syrup
panna_cotta,350,1 serving (150g),with sauce
peking_duck,380,100g,with skin
pho,450,1 bowl (600g),beef noodle soup
pizza,285,1 slice (107g),cheese
pork_chop,290,6 oz (170g),grilled
poutine,740,1 serving (300g),fries with gravy
prime_rib,400,8 oz (225g),with juice
pulled_pork_sandwich,520,1 sandwich (250g),with sauce
ramen,550,1 bowl (550g),with toppings
ravioli,320,1 cup (200g),with sauce
red_velvet_cake,410,1 slice (125g),with cream cheese
risotto,350,1 cup (200g),creamy rice
samosa,260,2 pieces (100g),fried pastry
sashimi,160,8 pieces (100g),raw fish
scallops,200,6 scallops (150g),pan seared
seaweed_salad,70,1 cup (100g),sesame dressed
shrimp_and_grits,480,1 serving (300g),southern style
spaghetti_bolognese,420,1 plate (300g),with meat sauce
spaghetti_carbonara,500,1 plate (300g),with egg and bacon
spring_rolls,130,2 rolls (80g),fresh not fried
steak,450,8 oz (225g),grilled ribeye
strawberry_shortcake,320,1 serving (150g),with cream
sushi,300,8 pieces (200g),assorted rolls
tacos,330,2 tacos (150g),with meat and toppings
takoyaki,300,6 pieces (100g),octopus balls
tiramisu,370,1 slice (150g),coffee dessert
tuna_tartare,200,150g,raw tuna
waffles,410,2 waffles (150g),with syrup
